drug,category,pdb,target,state,diffdock_confidence,gnina_affinity,gnina_minimize_rmsd,gnina_cnn_score,gnina_cnn_affinity
disulfiram,repurposing_candidate,4I24,EGFR,T790M,-0.75,-4.27262,2.01531,0.39022,5.16701
disulfiram,repurposing_candidate,4LDJ,KRAS,G12C,-1.85,-2.65625,1.39389,0.13144,3.11468
disulfiram,repurposing_candidate,5UGC,EGFR,L858R+T790M,-1.8,-4.02398,3.013,0.40552,5.34677
disulfiram,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-3.55,-2.45147,7.20575,0.37349,3.27252
disulfiram,repurposing_candidate,8A2B,EGFR,L858R,-0.54,-4.11217,1.81403,0.28596,4.65215
disulfiram,repurposing_candidate,8FMI,KRAS,WT,-1.92,-3.05313,1.9419,0.15299,3.37777
divarasib,kras_family,3POZ,EGFR,WT,-1.82,-7.57335,1.88292,0.02355,7.38703
divarasib,kras_family,4I24,EGFR,T790M,-1.55,-6.60809,2.41556,0.37711,8.3481
divarasib,kras_family,4LDJ,KRAS,G12C,-2.4,-3.52869,1.02935,0.1931,7.33835
divarasib,kras_family,5UGC,EGFR,L858R+T790M,-1.84,-0.68578,1.68643,0.47294,8.18683
divarasib,kras_family,6OIM,KRAS,G12C+sotorasib,-1.68,-9.21618,1.31226,0.65769,8.43533
divarasib,kras_family,8A2B,EGFR,L858R,-1.11,-8.06359,1.54996,0.2583,7.91568
divarasib,kras_family,8FMI,KRAS,WT,-2.54,-6.71062,2.17133,0.06897,6.44033
doxycycline,repurposing_candidate,3POZ,EGFR,WT,-0.53,-9.02832,3.31575,0.5798,5.37794
doxycycline,repurposing_candidate,4I24,EGFR,T790M,-1.21,-0.54156,1.68418,0.15705,5.0092
doxycycline,repurposing_candidate,4LDJ,KRAS,G12C,-1.78,-7.3404,2.2404,0.79639,5.63473
doxycycline,repurposing_candidate,5UGC,EGFR,L858R+T790M,-0.78,-7.66097,2.80874,0.13171,5.15286
doxycycline,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-1.67,-7.10337,1.4769,0.36604,5.18924
doxycycline,repurposing_candidate,8A2B,EGFR,L858R,-0.55,-0.93298,0.52706,0.21601,4.71676
doxycycline,repurposing_candidate,8FMI,KRAS,WT,-1.21,-7.47097,1.38527,0.52346,5.1655
erlotinib,known_answer,3POZ,EGFR,WT,-0.29,-7.22152,1.89995,0.73812,7.14376
erlotinib,known_answer,4I24,EGFR,T790M,-0.21,-6.95131,1.17189,0.75004,7.10241
erlotinib,known_answer,4LDJ,KRAS,G12C,-2.26,-3.44096,7.23478,0.05175,4.25003
erlotinib,known_answer,5UGC,EGFR,L858R+T790M,-1.0,-5.10954,2.4431,0.37059,6.55064
erlotinib,known_answer,6OIM,KRAS,G12C+sotorasib,-1.59,-6.42085,1.56777,0.08649,5.00434
erlotinib,known_answer,8A2B,EGFR,L858R,-0.4,-7.36405,1.59597,0.95674,6.97518
erlotinib,known_answer,8FMI,KRAS,WT,-2.21,-5.82346,2.20256,0.11503,5.28505
gefitinib,known_answer,3POZ,EGFR,WT,-0.1,-7.70267,0.71559,0.9504,8.1045
gefitinib,known_answer,4I24,EGFR,T790M,-0.24,-8.73038,1.34003,0.97289,7.88075
gefitinib,known_answer,4LDJ,KRAS,G12C,-1.3,-5.11316,2.05002,0.61929,6.79185
gefitinib,known_answer,5UGC,EGFR,L858R+T790M,-1.5,-6.11894,2.92966,0.22466,7.05215
gefitinib,known_answer,6OIM,KRAS,G12C+sotorasib,-1.95,-6.50329,2.65673,0.64447,6.2786
gefitinib,known_answer,8A2B,EGFR,L858R,-0.49,-7.34519,3.41874,0.73202,7.21423
gefitinib,known_answer,8FMI,KRAS,WT,-1.02,-5.58965,3.55087,0.0211,4.59235
imatinib,multi_kinase,3POZ,EGFR,WT,-1.02,-8.37992,1.26843,0.7233,7.68302
imatinib,multi_kinase,4I24,EGFR,T790M,-0.8,-9.43023,1.82142,0.82436,7.83545
imatinib,multi_kinase,4LDJ,KRAS,G12C,-1.21,-6.972,1.19444,0.16894,5.51021
imatinib,multi_kinase,5UGC,EGFR,L858R+T790M,-0.93,-6.34214,1.9743,0.47849,7.85126
imatinib,multi_kinase,6OIM,KRAS,G12C+sotorasib,-3.45,-4.33309,6.93827,0.02339,5.13344
imatinib,multi_kinase,8A2B,EGFR,L858R,-0.8,-8.25355,1.20812,0.9067,7.65296
imatinib,multi_kinase,8FMI,KRAS,WT,-1.99,-5.82532,2.60224,0.25133,6.14662
itraconazole,repurposing_candidate,3POZ,EGFR,WT,-1.39,-6.60324,2.27107,0.0346,6.3811
itraconazole,repurposing_candidate,4I24,EGFR,T790M,-2.18,-7.95394,1.73982,0.4178,7.36893
itraconazole,repurposing_candidate,4LDJ,KRAS,G12C,-2.81,-5.76473,3.1239,0.0899,5.23035
itraconazole,repurposing_candidate,5UGC,EGFR,L858R+T790M,-2.63,4.5494,0.96471,0.30493,7.27873
itraconazole,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-3.34,14.76102,17.08443,0.02777,5.37072
itraconazole,repurposing_candidate,8A2B,EGFR,L858R,-2.14,-8.25563,2.29516,0.04594,5.54919
itraconazole,repurposing_candidate,8FMI,KRAS,WT,-2.12,-6.13343,2.19124,0.06477,5.64567
lapatinib,egfr_family,3POZ,EGFR,WT,-0.24,-10.80872,0.81171,0.97897,8.75891
lapatinib,egfr_family,4I24,EGFR,T790M,-0.91,-7.38128,1.10614,0.91378,8.5872
lapatinib,egfr_family,4LDJ,KRAS,G12C,-1.85,-6.24076,1.79822,0.03811,4.71849
lapatinib,egfr_family,5UGC,EGFR,L858R+T790M,-1.77,0.09431,2.55427,0.46151,7.84058
lapatinib,egfr_family,6OIM,KRAS,G12C+sotorasib,-2.65,-4.84904,13.01577,0.01382,5.67576
lapatinib,egfr_family,8A2B,EGFR,L858R,-0.66,-8.52198,0.71411,0.76561,7.88683
lapatinib,egfr_family,8FMI,KRAS,WT,-2.65,-4.64179,3.74119,0.03868,5.03278
metformin,repurposing_candidate,3POZ,EGFR,WT,0.15,-3.66472,1.11676,0.8753,4.27395
metformin,repurposing_candidate,4I24,EGFR,T790M,0.41,-3.60333,0.98623,0.73036,3.49938
metformin,repurposing_candidate,4LDJ,KRAS,G12C,0.27,-3.87408,1.35888,0.65837,3.50239
metformin,repurposing_candidate,5UGC,EGFR,L858R+T790M,0.39,-4.02506,0.49558,0.89703,4.09721
metformin,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-4.31,-1.16473,5.37381,0.65026,3.18322
metformin,repurposing_candidate,8A2B,EGFR,L858R,0.71,-3.6678,0.53605,0.92818,4.65826
