rep,drug,category,pdb,target,state,diffdock_confidence,gnina_affinity,gnina_minimize_rmsd,gnina_cnn_score,gnina_cnn_affinity
1,dasatinib,multi_kinase,8FMI,KRAS,WT,-1.58,-5.32321,1.53852,0.02818,4.98002
1,disulfiram,repurposing_candidate,3POZ,EGFR,WT,-1.15,-4.3233,1.61146,0.39821,5.14364
1,disulfiram,repurposing_candidate,4I24,EGFR,T790M,-0.71,-4.22082,1.87068,0.39741,5.43374
1,disulfiram,repurposing_candidate,4LDJ,KRAS,G12C,-2.18,-3.65298,1.68139,0.31065,3.54444
1,disulfiram,repurposing_candidate,5UGC,EGFR,L858R+T790M,-1.36,-4.42378,2.11245,0.25617,4.39132
1,disulfiram,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-2.8,-0.85848,7.20729,0.20282,3.06864
1,disulfiram,repurposing_candidate,8A2B,EGFR,L858R,-0.52,-3.18613,0.99063,0.7486,5.48502
1,disulfiram,repurposing_candidate,8FMI,KRAS,WT,-1.77,-3.50047,1.98282,0.27539,3.71587
1,divarasib,kras_family,3POZ,EGFR,WT,-1.91,-7.63281,1.99502,0.02038,7.33884
1,divarasib,kras_family,4I24,EGFR,T790M,-1.61,-4.1961,1.4126,0.08493,7.72489
1,divarasib,kras_family,4LDJ,KRAS,G12C,-2.44,-3.52546,1.52485,0.20506,7.34786
1,divarasib,kras_family,5UGC,EGFR,L858R+T790M,-1.72,-0.68804,2.30285,0.47719,8.1935
1,divarasib,kras_family,6OIM,KRAS,G12C+sotorasib,-1.59,-9.20603,1.21856,0.67873,8.51058
1,divarasib,kras_family,8A2B,EGFR,L858R,-0.95,-8.12311,1.57285,0.22359,7.95262
1,divarasib,kras_family,8FMI,KRAS,WT,-2.5,-6.66812,2.24098,0.07702,6.46442
1,doxycycline,repurposing_candidate,3POZ,EGFR,WT,-0.56,-6.5592,3.94977,0.61666,5.31776
1,doxycycline,repurposing_candidate,4I24,EGFR,T790M,-1.17,1.13643,2.49695,0.13719,4.89776
1,doxycycline,repurposing_candidate,4LDJ,KRAS,G12C,-1.58,-8.06751,2.29337,0.12898,3.88077
1,doxycycline,repurposing_candidate,5UGC,EGFR,L858R+T790M,-0.8,-2.8895,0.96421,0.6508,6.41504
1,doxycycline,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-1.41,-7.93444,2.16731,0.62865,5.17624
1,doxycycline,repurposing_candidate,8A2B,EGFR,L858R,-0.53,-0.93301,0.64792,0.21602,4.71678
1,doxycycline,repurposing_candidate,8FMI,KRAS,WT,-0.59,-7.49427,1.43191,0.53362,5.07757
1,erlotinib,known_answer,3POZ,EGFR,WT,-0.34,-6.99241,1.88572,0.79067,7.23059
