rep,drug,category,pdb,target,state,diffdock_confidence,gnina_affinity,gnina_minimize_rmsd,gnina_cnn_score,gnina_cnn_affinity
1,barbital,approved_library,5UGC,EGFR,L858R+T790M,-0.51,-4.26784,1.78242,0.37928,4.72548
1,benznidazole,approved_library,3POZ,EGFR,WT,-0.33,-6.85777,1.14397,0.29747,5.28228
1,benznidazole,approved_library,5UGC,EGFR,L858R+T790M,-0.49,-5.6539,1.52719,0.82206,5.71578
1,benzydamine,approved_library,3POZ,EGFR,WT,-0.13,-8.43029,1.45188,0.91426,6.27242
1,benzydamine,approved_library,5UGC,EGFR,L858R+T790M,-0.77,-7.28885,1.54733,0.37906,5.59584
1,betamethasone,approved_library,3POZ,EGFR,WT,-1.65,-8.23217,2.89104,0.23181,5.5016
1,betamethasone,approved_library,5UGC,EGFR,L858R+T790M,-1.49,-9.11862,1.90897,0.34911,6.16342
1,betaxolol,approved_library,3POZ,EGFR,WT,-0.48,-6.55669,1.93075,0.60588,5.93651
1,betaxolol,approved_library,5UGC,EGFR,L858R+T790M,-1.24,-5.31426,1.89117,0.16194,4.95891
1,bicalutamide,approved_library,3POZ,EGFR,WT,-0.15,-9.66317,1.49237,0.46792,6.48066
1,bicalutamide,approved_library,5UGC,EGFR,L858R+T790M,-1.7,-7.30177,3.7587,0.17756,5.62993
1,bifonazole,approved_library,3POZ,EGFR,WT,-0.32,-8.83444,1.39597,0.82852,6.66431
1,bifonazole,approved_library,5UGC,EGFR,L858R+T790M,-2.06,4.34331,0.94612,0.88773,6.77928
1,bromazepam,approved_library,3POZ,EGFR,WT,-0.36,-5.13266,1.11074,0.64784,6.28066
1,bromazepam,approved_library,5UGC,EGFR,L858R+T790M,0.16,-6.81777,0.90931,0.55196,6.30593
1,bromocriptine,approved_library,3POZ,EGFR,WT,-1.17,0.3163,1.55636,0.08691,6.48426
1,bromocriptine,approved_library,5UGC,EGFR,L858R+T790M,-2.13,-8.35188,3.8207,0.14465,6.90045
1,buspirone,approved_library,3POZ,EGFR,WT,-0.73,-5.97706,2.08192,0.11727,5.87656
1,buspirone,approved_library,5UGC,EGFR,L858R+T790M,-1.2,-5.9275,1.59502,0.16084,5.89376
1,butabarbital,approved_library,3POZ,EGFR,WT,-0.9,-5.18438,0.56452,0.45553,4.88536
1,butabarbital,approved_library,5UGC,EGFR,L858R+T790M,-1.13,-0.23801,1.28695,0.79297,5.50543
1,butalbital,approved_library,3POZ,EGFR,WT,-0.84,-5.33965,0.46645,0.43406,5.13456
1,butalbital,approved_library,5UGC,EGFR,L858R+T790M,-0.38,-5.88637,4.10445,0.1003,3.99894
1,caffeine,approved_library,3POZ,EGFR,WT,-0.25,-5.08002,0.33491,0.91855,4.87034
1,caffeine,approved_library,5UGC,EGFR,L858R+T790M,-0.24,-5.74337,0.66596,0.9524,5.46178
1,carbamazepine,approved_library,3POZ,EGFR,WT,-0.28,-7.84334,0.52202,0.96266,6.2472
1,carbamazepine,approved_library,5UGC,EGFR,L858R+T790M,-0.34,-7.81517,0.78592,0.95956,6.2825
1,carmustine,approved_library,3POZ,EGFR,WT,-0.21,-4.24153,0.57008,0.875,4.05612
1,carmustine,approved_library,5UGC,EGFR,L858R+T790M,0.25,-4.65232,1.23486,0.72677,4.07348
1,cefprozil-anhydrous-e,approved_library,3POZ,EGFR,WT,-0.62,-5.16411,0.84187,0.54404,6.96675
1,cefprozil-anhydrous-e,approved_library,5UGC,EGFR,L858R+T790M,-1.12,-6.33009,2.40514,0.04461,5.04798
1,ceftizoxime,approved_library,3POZ,EGFR,WT,-0.71,-7.52062,2.35675,0.14259,5.00111
1,ceftizoxime,approved_library,5UGC,EGFR,L858R+T790M,-0.64,-6.79989,1.54957,0.79521,6.88255
1,celecoxib,approved_library,3POZ,EGFR,WT,-0.6,-8.42674,1.63581,0.36678,6.13695
1,celecoxib,approved_library,5UGC,EGFR,L858R+T790M,-0.41,-9.33704,1.14514,0.58549,6.7058
1,cephalothin,approved_library,3POZ,EGFR,WT,-0.15,-7.28841,0.92641,0.49528,6.61203
1,cephalothin,approved_library,5UGC,EGFR,L858R+T790M,-0.93,-5.40985,2.24276,0.21686,5.57432
1,chlorambucil,approved_library,3POZ,EGFR,WT,-0.17,-6.31355,1.29106,0.34374,5.16586
1,chlorambucil,approved_library,5UGC,EGFR,L858R+T790M,-0.83,-5.20407,1.41714,0.18494,4.64312
1,chloramphenicol,approved_library,3POZ,EGFR,WT,-0.8,-6.84902,1.42295,0.53429,5.57946
1,chloramphenicol,approved_library,5UGC,EGFR,L858R+T790M,-0.96,-5.77083,1.28496,0.34798,5.51112
1,chlordiazepoxide,approved_library,3POZ,EGFR,WT,-0.08,-7.70773,1.77568,0.80836,6.4124
1,chlordiazepoxide,approved_library,5UGC,EGFR,L858R+T790M,0.88,-8.67144,1.10606,0.94396,6.72399
1,chloroquine,approved_library,3POZ,EGFR,WT,-0.64,-6.42294,1.13748,0.93644,7.14152
1,chloroquine,approved_library,5UGC,EGFR,L858R+T790M,-1.11,-5.89816,2.03834,0.66997,6.65193
1,chlorpheniramine,approved_library,3POZ,EGFR,WT,-0.13,-6.51919,1.08102,0.35773,5.56671
1,chlorpheniramine,approved_library,5UGC,EGFR,L858R+T790M,-0.39,-7.1436,1.09818,0.55829,5.99559
1,chlorpromazine,approved_library,3POZ,EGFR,WT,-0.67,-3.39208,0.87316,0.19287,5.57689
1,chlorpromazine,approved_library,5UGC,EGFR,L858R+T790M,-0.88,-6.03076,2.50803,0.20949,5.54043
1,chlorpropamide,approved_library,3POZ,EGFR,WT,-0.05,-6.69719,0.89835,0.59246,5.98115
1,chlorpropamide,approved_library,5UGC,EGFR,L858R+T790M,0.03,-5.27081,0.74051,0.46182,5.1209
1,cimetidine,repurposing_candidate,3POZ,EGFR,WT,0.1,-5.37482,1.43345,0.49908,5.99543
1,cimetidine,repurposing_candidate,5UGC,EGFR,L858R+T790M,-0.4,-4.59222,0.81067,0.33334,5.98661
1,ciprofloxacin,approved_library,3POZ,EGFR,WT,0.42,-7.2615,0.65269,0.78483,6.65864
1,ciprofloxacin,approved_library,5UGC,EGFR,L858R+T790M,0.69,-8.23907,1.14646,0.69296,6.73236
1,citalopram,approved_library,3POZ,EGFR,WT,-0.54,-4.5528,0.8865,0.12691,5.43602
1,citalopram,approved_library,5UGC,EGFR,L858R+T790M,-0.81,-6.52817,2.62147,0.1295,4.94929
1,clidinium,approved_library,3POZ,EGFR,WT,-0.83,-7.66494,1.32441,0.15593,5.17886
1,clidinium,approved_library,5UGC,EGFR,L858R+T790M,-2.35,-7.0309,3.68224,0.39228,5.46081
1,clioquinol,approved_library,3POZ,EGFR,WT,-0.17,-6.00495,0.26844,0.3878,4.85582
1,clioquinol,approved_library,5UGC,EGFR,L858R+T790M,0.08,-6.15283,0.79705,0.93486,5.60581
1,clofibrate,approved_library,3POZ,EGFR,WT,0.11,-5.8761,0.97603,0.58415,4.52573
1,clofibrate,approved_library,5UGC,EGFR,L858R+T790M,-0.98,-5.96124,1.49419,0.43666,4.80381
1,clometacin,approved_library,3POZ,EGFR,WT,0.06,-7.82255,1.28587,0.70702,6.61732
1,clometacin,approved_library,5UGC,EGFR,L858R+T790M,-3.14,-5.4945,2.4481,0.25308,5.9242
1,clomipramine,approved_library,3POZ,EGFR,WT,-1.08,-1.96108,1.20748,0.17506,5.35931
1,clomipramine,approved_library,5UGC,EGFR,L858R+T790M,-0.5,-8.10921,0.97926,0.74475,6.19198
1,clonazepam,approved_library,3POZ,EGFR,WT,-0.55,-6.22183,1.15478,0.8441,6.4284
1,clonazepam,approved_library,5UGC,EGFR,L858R+T790M,0.33,-7.96254,0.86425,0.92469,6.76899
1,clotrimazole,approved_library,3POZ,EGFR,WT,-2.01,-0.52333,0.84828,0.49577,6.23669
1,clotrimazole,approved_library,5UGC,EGFR,L858R+T790M,-2.78,0.31522,1.67229,0.37055,6.16593
1,clozapine,approved_library,3POZ,EGFR,WT,0.26,-8.09991,1.48581,0.0506,5.31095
1,clozapine,approved_library,5UGC,EGFR,L858R+T790M,-0.7,-7.73156,1.22312,0.39476,6.48963
1,codeine,approved_library,3POZ,EGFR,WT,-0.36,-7.24027,2.61208,0.09363,4.85371
1,codeine,approved_library,5UGC,EGFR,L858R+T790M,-1.11,-6.66639,4.45156,0.05511,3.85434
1,colchicine,approved_library,3POZ,EGFR,WT,-0.67,-7.70009,1.70364,0.14809,5.50225
1,colchicine,approved_library,5UGC,EGFR,L858R+T790M,-0.88,-7.54813,1.65776,0.7206,7.04511
1,crizotinib,multi_kinase,3POZ,EGFR,WT,-0.56,-8.18658,0.69081,0.85099,8.23321
1,crizotinib,multi_kinase,5UGC,EGFR,L858R+T790M,-1.55,-5.21789,1.13823,0.69168,7.79428
1,cromolyn-sodium,approved_library,3POZ,EGFR,WT,-0.35,-9.1002,0.95655,0.44868,6.03355
1,cromolyn-sodium,approved_library,5UGC,EGFR,L858R+T790M,-1.95,-8.45373,3.76852,0.17447,5.66426
1,cromolyn,approved_library,3POZ,EGFR,WT,-0.79,-8.95012,1.53674,0.29663,5.77
1,cromolyn,approved_library,5UGC,EGFR,L858R+T790M,-1.29,-8.60482,3.1003,0.12547,5.56757
1,cyclobarbital,approved_library,3POZ,EGFR,WT,-0.64,-5.616,0.43182,0.64833,5.43911
1,cyclobarbital,approved_library,5UGC,EGFR,L858R+T790M,-0.81,-3.87643,1.70809,0.41474,5.41792
1,cyclophosphamide-anhydrous,approved_library,3POZ,EGFR,WT,-1.12,-4.01916,3.23251,0.08355,3.4604
1,cyclophosphamide-anhydrous,approved_library,5UGC,EGFR,L858R+T790M,-0.81,-4.33231,2.13965,0.10967,3.81622
1,cyproheptadine,approved_library,3POZ,EGFR,WT,-1.31,-0.24422,2.61561,0.38279,5.64501
1,cyproheptadine,approved_library,5UGC,EGFR,L858R+T790M,-0.28,-7.52768,3.51156,0.07739,4.87798
1,dacarbazine,approved_library,3POZ,EGFR,WT,0.47,-4.74776,0.4975,0.92738,5.00663
1,dacarbazine,approved_library,5UGC,EGFR,L858R+T790M,0.43,-5.27445,0.54879,0.94705,5.24014
1,dacomitinib,egfr_family,3POZ,EGFR,WT,-0.07,-8.50261,0.68049,0.95315,8.37269
1,dacomitinib,egfr_family,5UGC,EGFR,L858R+T790M,-1.4,-6.06487,2.56084,0.28045,7.34527
1,dasatinib,multi_kinase,3POZ,EGFR,WT,-0.77,-7.3327,3.10257,0.13746,6.94999
1,dasatinib,multi_kinase,5UGC,EGFR,L858R+T790M,-1.66,-6.09341,6.45807,0.04129,5.79763
1,deferoxamine,approved_library,3POZ,EGFR,WT,-1.71,-6.98567,2.62249,0.0104,5.91477
1,deferoxamine,approved_library,5UGC,EGFR,L858R+T790M,-1.55,-3.44994,2.10359,0.15241,6.12089
1,delavirdine,approved_library,3POZ,EGFR,WT,-0.78,-8.61733,2.88258,0.18654,6.60453
1,delavirdine,approved_library,5UGC,EGFR,L858R+T790M,-1.59,-7.12492,4.05578,0.0358,6.49084
1,desipramine,approved_library,3POZ,EGFR,WT,-1.23,-7.39089,2.27047,0.17139,4.86922
1,desipramine,approved_library,5UGC,EGFR,L858R+T790M,-1.08,-7.23404,2.58986,0.21965,5.48328
1,diazepam,approved_library,3POZ,EGFR,WT,0.0,-5.99558,1.46527,0.4068,5.73088
1,diazepam,approved_library,5UGC,EGFR,L858R+T790M,-1.05,-7.47947,2.44403,0.80506,6.37984
1,dibromsalan,approved_library,3POZ,EGFR,WT,-0.34,-6.83703,1.79723,0.5659,5.76728
1,dibromsalan,approved_library,5UGC,EGFR,L858R+T790M,0.03,-6.81913,1.91941,0.59694,5.65765
1,dichlorphenamide,approved_library,3POZ,EGFR,WT,0.05,-6.41694,1.5684,0.77107,5.37305
1,dichlorphenamide,approved_library,5UGC,EGFR,L858R+T790M,-0.67,-4.90197,0.78628,0.34351,4.75118
1,diethylstilbestrol,approved_library,3POZ,EGFR,WT,-0.06,-7.74196,0.68828,0.62561,6.08545
1,diethylstilbestrol,approved_library,5UGC,EGFR,L858R+T790M,-0.93,-7.17173,0.90338,0.60282,5.57691
1,diltiazem,approved_library,3POZ,EGFR,WT,-1.02,-6.64734,1.96697,0.08803,5.50376
1,diltiazem,approved_library,5UGC,EGFR,L858R+T790M,-3.32,-5.81662,5.32632,0.12615,5.38421
1,dinoprostone,approved_library,3POZ,EGFR,WT,-1.06,-6.95378,3.68578,0.35566,5.89839
1,dinoprostone,approved_library,5UGC,EGFR,L858R+T790M,-0.73,-5.23394,1.49203,0.07784,5.83493
1,disopyramide,approved_library,3POZ,EGFR,WT,-1.67,-5.10034,1.8084,0.1356,5.50225
1,disopyramide,approved_library,5UGC,EGFR,L858R+T790M,-3.49,-5.54913,3.53394,0.54255,6.54243
1,disulfiram,repurposing_candidate,3POZ,EGFR,WT,-0.62,-4.53502,1.16457,0.35163,5.35418
